OBJECTID,PEC_ID,Locality,Name,Owner_Applicant,Street_Address,Parcel_ID,Acres,Building_Sq_Ft,MW_reported,Construction_Type,Build_Status,Notes,Tax_Map_link,Source_link,Lat,Long,Date_Updated,Updated_By,Lat1,Watershed
456,PEC-LDN-0096A,Loudoun County,Parcel J at Ashburn Center,GI TC ASHBURN LLC,21625 RED RUM DR,088381788000,0.0,154583,,Redevelopment,Proposed,,https://reparcelasmt.loudoun.gov/pt/Datalets/Datalet.aspx?UseSearch=no&mode=profileall&pin=088381788000&jur=107&taxyr=2024,https://loudouncountyvaeg.tylerhost.net/prod/selfservice#/plan/bb5f1aed-1eda-4c62-8c86-d8e940d94a8c?tab=locations,39.0157112,-77.48335525,2025-08-11,SEP,39.0157112,
457,PEC-LDN-0176,Loudoun County,CYRUSONE BROADLANDS DATA CENTER,Cyrus One,Belmont Road and Dulles Greenway,154199491000,57.61,784600,,New,Proposed,,https://reparcelasmt.loudoun.gov/pt/Datalets/Datalet.aspx?UseSearch=no&mode=profileall&pin=154199491000&jur=107&taxyr=2025,https://loudouncountyvaeg.tylerhost.net/prod/selfservice#/plan/A3CFB06B-5F39-4218-A8C5-D494E4ABAB9B?tab=locations,39.03337503,-77.52170681,2025-08-11,SEP,39.03337503,
458,PEC-LDN-0132A,Loudoun County,PROJECT ASPEN,HAYDEN TECHNOLOGIES LLC,20491 GOOSE LANDING LN,194498227000,0.0,324890,,Expansion,Proposed,,https://reparcelasmt.loudoun.gov/pt/Datalets/Datalet.aspx?UseSearch=no&mode=profileall&pin=194498227000&jur=107&taxyr=2024,https://loudouncountyvaeg.tylerhost.net/prod/selfservice#/plan/e48043e8-fdbb-4e91-aa87-60d35cb71173?tab=attachments,,-77.53494952,2025-08-11,SEP,,
459,PEC-LDN-0130A,Loudoun County,Project Celtic Phase 2,Google,20649 ENERGY PARK DR,193186982000,0.0,1190996,,Expansion,Proposed,"Building 3, 4, & 5",https://reparcelasmt.loudoun.gov/pt/Datalets/Datalet.aspx?UseSearch=no&mode=profileall&pin=193186982000&jur=107&taxyr=2024,https://loudouncountyvaeg.tylerhost.net/prod/selfservice#/plan/4b096fd7-53cd-49a4-a1c0-32e42413c3c9?tab=attachments,39.05390105,-77.54464697,2025-08-11,SEP,39.05390105,
460,PEC-LDN-0131,Loudoun County,COMPASS DATACENTERS IAD I,COMPASS DATACENTERS IAD I LLC,42247 THUNDERBALL DR,194103673001,97.12,551029,,Complete,Existing,Computer Center,https://reparcelasmt.loudoun.gov/pt/datalets/datalet.aspx?mode=profileall&UseSearch=no&pin=194103673001&jur=107&taxyr=2024&LMparent=20,,39.0438211,-77.53760127,2025-08-11,SEP,39.0438211,
462,PEC-LDN-0177,Loudoun County,Cochran Mill Road,Twin Creeks LLC,42277 COCHRAN MILL RD,151494358000,53.11,811129,,New,Proposed,"Project covers more than one parcel, the acreage represents the combined acreage",,https://loudouncountyvaeg.tylerhost.net/prod/selfservice#/plan/308CC962-0022-4914-AE51-DC263552E62C?tab=attachments,39.07463309,-77.51653983,2025-08-11,SEP,39.07463309,
463,PEC-LDN-0178,Loudoun County,TELOS DATA CENTER,MARC SOLOMON,19886 ASHBURN RD,083287772000,25.29,180000,,Redevelopment,Proposed,Project adjacent to a church,,https://loudouncountyvaeg.tylerhost.net/prod/selfservice#/plan/D476DA12-5225-4CDE-B20E-0115B3DEC520?tab=locations,39.06702471,-77.47856722,2025-08-11,SEP,39.06702471,
465,PEC-CAR-0012,Caroline County,CleanArc,"CleanArc Data Centers Operating, LLC","18188 Bazaar Ave, Ruther Glen",53-A-64B,650.0,490000,,New,Proposed,,,https://co.caroline.va.us/DocumentCenter/View/9996/SP-18-2024--CADC-VA-Bazaar,38.01545495,-77.49723734,2025-09-12,SEP,38.01545495,
466,PEC-CHE-0006,Chesterfield County,Project Peanut,Google,2700 Bermuda Hundred Road,8306513084,300.0,,,New,Proposed,,https://www.chesterfield.gov/828/Real-Estate-Assessment-Data#/Details/830651308400000,https://www.datacenterdynamics.com/en/news/google-to-invest-9bn-in-virginia-data-centers-plans-new-campus-in-chesterfield-county/,37.34457061,-77.30399004,2025-09-12,SEP,37.34457061,
467,PEC-CHE-0003,Chesterfield County,Project Loch,Google,751 WATKINS CENTRE PKWY,7.16706972e+14,349.97,,,New,Proposed,"Square footage not reported. Project covers more than one parcel, the acreage represents the combined acreage",https://www.chesterfield.gov/828/Real-Estate-Assessment-Data#/Details/716706972000002,https://chesterfieldfits.com/site/wp-content/uploads/2025/05/25SN1040-Watkins.-Proffers.-Executed.-5.9.25-01718951xBE3E4.pdf,37.49906414,-77.69161552,2025-09-12,SEP,37.49906414,
468,PEC-FAX-0028,Fairfax County,Plaza 500,Starwood Capital Group/Plaza 500 LLC,"6295 Edsall Rd. Alexandria, VA 22312",0812 01 0007,,461444,,New,Proposed,,https://www.fairfaxcounty.gov/gisapps/ParcelInfoReportJade/ParcelInfoReport.aspx?ParcelID=0812010007,https://www.datacenterdynamics.com/en/news/starwood-re-proposes-data-center-in-alexandria-virginia/,38.80227115,-77.14252199,2025-09-12,SEP,38.80227115,
471,PEC-KGE-0003,King George County,Dahlgren West,"Dahlgren Innovation Hub, LLC","west of the intersection of Route 301 and Route 616, just up the road from the Chestnut Hill Loop",17-24,497.2,9000000,,New,Proposed,"Project covers more than one parcel, the acreage represents the combined acreage",,https://www.datacenterdynamics.com/en/news/9-million-sq-ft-data-center-campus-proposed-in-virginias-king-george-county/,38.3098502,-77.11263838,2025-07-17,SEP,38.3098502,
472,PEC-FAQ-0011,Fauquier County,Remington Innovation Campus,SDC Capital Partners,"11462 REMINGTON RD , REMINGTON, VA, 22734",6888-99-6331-000,204.0,2221560,,New,Proposed,"Project covers more than one parcel, the acreage represents the combined acreage. Square footage based on 0.25 FAR",https://www.actdatascout.com/RealProperty/ParcelView,https://commdevpay.fauquiercounty.gov/Energov_Prod/SelfService#/plan/e900e88c-2070-4bb5-81ff-23e7be27ca04?tab=locations,38.5630429,-77.77671439,2025-07-17,SEP,38.5630429,
473,PEC-KGE-0002,King George County,Green Energy Ventures Data Center,Green Energy Ventures LLC,Graves Corner Northwest of the intersection of Bloomsbury Road and Kings HWY,21-49,352.47,6500000,,New,Proposed,"Project covers more than one parcel, the acreage represents the combined acreage",,https://kinggeorgetechnologycenter.com/submissions/,38.25655801,-77.29121937,2025-07-17,SEP,38.25655801,
475,PEC-LDN-0157,Loudoun County,MERCURE BUSINESS PARK LOT 22,L22 LLC/ John Cox,"44211 MERCURE CIR , STERLING",091493983000,5.49,"95,658",,Redevelopment,Proposed,Currently flex warehouse. Current building completed in 2022,https://reparcelasmt.loudoun.gov/pt/Datalets/Datalet.aspx?UseSearch=no&mode=profileall&pin=091493983000&jur=107&taxyr=2025,https://loudouncountyvaeg.tylerhost.net/prod/selfservice#/plan/a037a799-691c-42c4-a3fa-dd41c9dfa911?tab=attachments,,,2025-10-17,SEP,,
476,PEC-LDN-0179,Loudoun County,Tuscarora Crossing Campus,Blackchamber Group,19560 CROSSTRAIL BLVD,150151774000,38.0,701400,,New,Proposed,"Substation denied by the Planning Commission in June, 2025",https://reparcelasmt.loudoun.gov/pt/datalets/datalet.aspx?mode=profileall&UseSearch=no&pin=150151774000&jur=107&taxyr=2025&LMparent=20,https://baxtel.com/data-center/tuscarora-crossing-campus,39.084415248563,-77.52772661,2025-08-11,SEP,39.084415248563,
477,PEC-PWM-0089,Prince William County,9720 Dean Drive,Amazon Data Services Inc,9720 Dean Drive and 9811 Nokesville Road,101/ 02 00/ 55B,17.43,250000,,New,Proposed,,https://gis.vgsi.com/manassasva/Parcel.aspx?Pid=198325,"https://www.datacenterdynamics.com/en/news/aws-planning-another-data-center-campus-in-virginias-prince-william-county/#:~:text=data%20center%20complex%20on%20Dean%20Drive/Nokesville%20Road%2C,the%20Wellington%20Road%20and%20Route%2028%20intersection",38.74980337,-77.49295696,2025-11-19,SEP,38.74980337,
478,PEC-PWM-0003,Prince William County,Manassas Corporate Center MCC-7 PRA,UNICORN INTERESTS LLC,10101 HARRY J PARRISH BLVD,7694-87-2108,22.52,1082231,,New,Proposed,,,https://egcss.pwcgov.org/SelfService#/plan/96c7aacf-964e-419b-ae82-f9f97a86808d?tab=attachments,38.72241349,-77.50135306,2025-11-10,SEP,38.72241349,
479,PEC-STA-0011,Stafford County,GWV,Augustine South Associates LLC,"Ramoth Church Rd, Courthouse Road, and 95",29-32,1042.0,7900000,,New,Proposed,This project covers multiple parcels. The total acreage has been represented here. May be associated with Woodcutter and Surveyor substations,https://va-stafford-assessor.publicaccessnow.com/PropertySearch/PropertyDetails.aspx?p=29%20%20%20%20%20%20%20%2082&a=18107,https://www.fxbgadvance.com/p/developer-seeks-rezoning-for-79-million,38.4197573,-77.44698439,2025-11-19,SEP,38.4197573,
480,PEC-PWM-0090,Prince William County,Six Towers Industrial Park,Noble Terra LLC,8030 Six Towers Rd,7892-60-4187,23.82,750974,,New,Proposed,This project covers multiple parcels. The total acreage has been represented here. Square footage is pulled from the proposed estimates included in the initial rezoning package,https://pwc.publicaccessnow.com/PropertyDetail.aspx?mtab=property&mpropertynumber=001057#,https://egcss.pwcgov.org/SelfService#/plan/f32568b2-c8f2-4134-815c-9da3cb62a8f1?tab=attachments,38.64791699,-77.43843893,2025-12-01,SEP,38.64791699,
